GEO_ID,NAME,P1_001N
1000000US361090001001000,"Block 1000, Block Group 1, Census Tract 1, Tompkins County, New York",105
1000000US361090001001001,"Block 1001, Block Group 1, Census Tract 1, Tompkins County, New York",0
1000000US361090001001002,"Block 1002, Block Group 1, Census Tract 1, Tompkins County, New York",44
1000000US361090001001003,"Block 1003, Block Group 1, Census Tract 1, Tompkins County, New York",0
1000000US361090001001004,"Block 1004, Block Group 1, Census Tract 1, Tompkins County, New York",49
1000000US361090001001005,"Block 1005, Block Group 1, Census Tract 1, Tompkins County, New York",83
1000000US361090001001006,"Block 1006, Block Group 1, Census Tract 1, Tompkins County, New York",62
1000000US361090001001007,"Block 1007, Block Group 1, Census Tract 1, Tompkins County, New York",79
1000000US361090001001008,"Block 1008, Block Group 1, Census Tract 1, Tompkins County, New York",210
1000000US361090001001009,"Block 1009, Block Group 1, Census Tract 1, Tompkins County, New York",161
1000000US361090001001010,"Block 1010, Block Group 1, Census Tract 1, Tompkins County, New York",140
1000000US361090001001011,"Block 1011, Block Group 1, Census Tract 1, Tompkins County, New York",163
1000000US361090001001012,"Block 1012, Block Group 1, Census Tract 1, Tompkins County, New York",0
1000000US361090001001013,"Block 1013, Block Group 1, Census Tract 1, Tompkins County, New York",151
1000000US361090001002000,"Block 2000, Block Group 2, Census Tract 1, Tompkins County, New York",58
1000000US361090001002001,"Block 2001, Block Group 2, Census Tract 1, Tompkins County, New York",26
1000000US361090001002002,"Block 2002, Block Group 2, Census Tract 1, Tompkins County, New York",25
1000000US361090001002003,"Block 2003, Block Group 2, Census Tract 1, Tompkins County, New York",71
1000000US361090001002004,"Block 2004, Block Group 2, Census Tract 1, Tompkins County, New York",113
1000000US361090001002005,"Block 2005, Block Group 2, Census Tract 1, Tompkins County, New York",38
1000000US361090001002006,"Block 2006, Block Group 2, Census Tract 1, Tompkins County, New York",23
1000000US361090001002007,"Block 2007, Block Group 2, Census Tract 1, Tompkins County, New York",64
1000000US361090001002008,"Block 2008, Block Group 2, Census Tract 1, Tompkins County, New York",44
1000000US361090001002009,"Block 2009, Block Group 2, Census Tract 1, Tompkins County, New York",34
1000000US361090001002010,"Block 2010, Block Group 2, Census Tract 1, Tompkins County, New York",24
1000000US361090001002011,"Block 2011, Block Group 2, Census Tract 1, Tompkins County, New York",79
1000000US361090001002012,"Block 2012, Block Group 2, Census Tract 1, Tompkins County, New York",21
1000000US361090001002013,"Block 2013, Block Group 2, Census Tract 1, Tompkins County, New York",21
1000000US361090001002014,"Block 2014, Block Group 2, Census Tract 1, Tompkins County, New York",22
1000000US361090001002015,"Block 2015, Block Group 2, Census Tract 1, Tompkins County, New York",154
1000000US361090002011000,"Block 1000, Block Group 1, Census Tract 2.01, Tompkins County, New York",508
1000000US361090002011001,"Block 1001, Block Group 1, Census Tract 2.01, Tompkins County, New York",899
1000000US361090002011002,"Block 1002, Block Group 1, Census Tract 2.01, Tompkins County, New York",156
1000000US361090002012000,"Block 2000, Block Group 2, Census Tract 2.01, Tompkins County, New York",80
1000000US361090002012001,"Block 2001, Block Group 2, Census Tract 2.01, Tompkins County, New York",644
1000000US361090002012002,"Block 2002, Block Group 2, Census Tract 2.01, Tompkins County, New York",683
1000000US361090002012003,"Block 2003, Block Group 2, Census Tract 2.01, Tompkins County, New York",57
1000000US361090002012004,"Block 2004, Block Group 2, Census Tract 2.01, Tompkins County, New York",60
1000000US361090002012005,"Block 2005, Block Group 2, Census Tract 2.01, Tompkins County, New York",250
1000000US361090002021000,"Block 1000, Block Group 1, Census Tract 2.02, Tompkins County, New York",405
1000000US361090002021001,"Block 1001, Block Group 1, Census Tract 2.02, Tompkins County, New York",164
1000000US361090002021002,"Block 1002, Block Group 1, Census Tract 2.02, Tompkins County, New York",256
1000000US361090002021003,"Block 1003, Block Group 1, Census Tract 2.02, Tompkins County, New York",188
1000000US361090002021004,"Block 1004, Block Group 1, Census Tract 2.02, Tompkins County, New York",226
1000000US361090002021005,"Block 1005, Block Group 1, Census Tract 2.02, Tompkins County, New York",86
1000000US361090002021006,"Block 1006, Block Group 1, Census Tract 2.02, Tompkins County, New York",96
1000000US361090002021007,"Block 1007, Block Group 1, Census Tract 2.02, Tompkins County, New York",11
1000000US361090002021008,"Block 1008, Block Group 1, Census Tract 2.02, Tompkins County, New York",121
1000000US361090002021009,"Block 1009, Block Group 1, Census Tract 2.02, Tompkins County, New York",114
1000000US361090002021010,"Block 1010, Block Group 1, Census Tract 2.02, Tompkins County, New York",95
1000000US361090002021011,"Block 1011, Block Group 1, Census Tract 2.02, Tompkins County, New York",128
1000000US361090002022000,"Block 2000, Block Group 2, Census Tract 2.02, Tompkins County, New York",245
1000000US361090002022001,"Block 2001, Block Group 2, Census Tract 2.02, Tompkins County, New York",67
1000000US361090002022002,"Block 2002, Block Group 2, Census Tract 2.02, Tompkins County, New York",21
1000000US361090002022003,"Block 2003, Block Group 2, Census Tract 2.02, Tompkins County, New York",27
1000000US361090002022004,"Block 2004, Block Group 2, Census Tract 2.02, Tompkins County, New York",64
1000000US361090002022005,"Block 2005, Block Group 2, Census Tract 2.02, Tompkins County, New York",146
1000000US361090002022006,"Block 2006, Block Group 2, Census Tract 2.02, Tompkins County, New York",79
1000000US361090003001000,"Block 1000, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001001,"Block 1001, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001002,"Block 1002, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001003,"Block 1003, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001004,"Block 1004, Block Group 1, Census Tract 3, Tompkins County, New York",22
1000000US361090003001005,"Block 1005, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001006,"Block 1006, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001007,"Block 1007, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001008,"Block 1008, Block Group 1, Census Tract 3, Tompkins County, New York",29
1000000US361090003001009,"Block 1009, Block Group 1, Census Tract 3, Tompkins County, New York",13
1000000US361090003001010,"Block 1010, Block Group 1, Census Tract 3, Tompkins County, New York",11
1000000US361090003001011,"Block 1011, Block Group 1, Census Tract 3, Tompkins County, New York",39
1000000US361090003001012,"Block 1012, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001013,"Block 1013, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001014,"Block 1014, Block Group 1, Census Tract 3, Tompkins County, New York",3
1000000US361090003001015,"Block 1015, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001016,"Block 1016, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001017,"Block 1017, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001018,"Block 1018, Block Group 1, Census Tract 3, Tompkins County, New York",16
1000000US361090003001019,"Block 1019, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001020,"Block 1020, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001021,"Block 1021, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001022,"Block 1022, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001023,"Block 1023, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001024,"Block 1024, Block Group 1, Census Tract 3, Tompkins County, New York",6
1000000US361090003001025,"Block 1025, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001026,"Block 1026, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001027,"Block 1027, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001028,"Block 1028, Block Group 1, Census Tract 3, Tompkins County, New York",278
1000000US361090003001029,"Block 1029, Block Group 1, Census Tract 3, Tompkins County, New York",99
1000000US361090003001030,"Block 1030, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001031,"Block 1031, Block Group 1, Census Tract 3, Tompkins County, New York",8
1000000US361090003001032,"Block 1032, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001033,"Block 1033, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001034,"Block 1034, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001035,"Block 1035, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001036,"Block 1036, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001037,"Block 1037, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001038,"Block 1038, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090003001039,"Block 1039, Block Group 1, Census Tract 3, Tompkins County, New York",4
1000000US361090003001040,"Block 1040, Block Group 1, Census Tract 3, Tompkins County, New York",173
1000000US361090003001041,"Block 1041, Block Group 1, Census Tract 3, Tompkins County, New York",104
1000000US361090003001042,"Block 1042, Block Group 1, Census Tract 3, Tompkins County, New York",1975
1000000US361090003001043,"Block 1043, Block Group 1, Census Tract 3, Tompkins County, New York",0
1000000US361090004001000,"Block 1000, Block Group 1, Census Tract 4, Tompkins County, New York",1
1000000US361090004001001,"Block 1001, Block Group 1, Census Tract 4, Tompkins County, New York",46
1000000US361090004001002,"Block 1002, Block Group 1, Census Tract 4, Tompkins County, New York",10
1000000US361090004001003,"Block 1003, Block Group 1, Census Tract 4, Tompkins County, New York",12
1000000US361090004001004,"Block 1004, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001005,"Block 1005, Block Group 1, Census Tract 4, Tompkins County, New York",10
1000000US361090004001006,"Block 1006, Block Group 1, Census Tract 4, Tompkins County, New York",18
1000000US361090004001007,"Block 1007, Block Group 1, Census Tract 4, Tompkins County, New York",350
1000000US361090004001008,"Block 1008, Block Group 1, Census Tract 4, Tompkins County, New York",563
1000000US361090004001009,"Block 1009, Block Group 1, Census Tract 4, Tompkins County, New York",0
1000000US361090004001010,"Block 1010, Block Group 1, Census Tract 4, Tompkins County, New York",244
1000000US361090004001011,"Block 1011, Block Group 1, Census Tract 4, Tompkins County, New York",32
1000000US361090004001012,"Block 1012, Block Group 1, Census Tract 4, Tompkins County, New York",912
1000000US361090004001013,"Block 1013, Block Group 1, Census Tract 4, Tompkins County, New York",2245
